Narzo 30A,RMX3171,
Narzo 20 Pro,RMX2161,
Narzo 20,RMX2193,
Narzo 20A,RMX2050,
Narzo 10,RMX2040,
Narzo 10A,RMX2020,
Galaxy Note 20 Ultra,"Canvas, c2",
Galaxy Note 20,"Canvas, c1",
Galaxy Note 10+,Da Vinci,
Galaxy Note 10,Da Vinci,
Galaxy Note 10 Lite,SM-N770F,
Galaxy Note 9,Crown,
Galaxy Note 8,Great,
Galaxy Note Fan Edition,Grace R,
Galaxy Note 7,Grace,
Galaxy Note 5,Project Noble,
Galaxy Note Edge,tbltetmo/tbltecan,
Galaxy Note 4,samsung-treltexx,
Galaxy Note 3 Neo,SM-N750,
Galaxy Note 3,N9005,
Galaxy Note II,midas,
Galaxy Z Fold 2,Top,
Galaxy Z Flip,Bloom,
Galaxy Fold,Winner,
Galaxy S21 Ultra,Unbound,
Galaxy S21 Plus,Unbound,
Galaxy S21,Unbound,
Galaxy S20 Ultra,Hubble,
Galaxy S20 Plus,Hubble,
Galaxy S20,Hubble,
Galaxy S10 Lite,SM-G770x,
Galaxy S10 5G,BeyondX,
Galaxy S10 Plus,Beyond2,
Galaxy S10,Beyond1,
Galaxy S10e,Beyond0,
Galaxy S9 Plus,Star,
Galaxy S9,Star,
Galaxy S8 Plus,Project Dream,
Galaxy S8,Project Dream,
Galaxy S7 Edge,hero2lte (Project Lucky),
Galaxy S7,herolte (Project Lucky),
Galaxy S7 Active,Poseidon,
Galaxy S6 Edge+,Project Zero,
Galaxy S6 Edge,Project Zero 2,
Galaxy S6,Project Zero,
Galaxy S5,klte,
Galaxy S4,samsung-jflte,
Galaxy S3,Midas,
Galaxy S2,i9100,
Galaxy S,Galaxphones,
Galaxy F62,,
Galaxy F41,SM-F415F,
ROG Phone 5,ASUS_I005DA,
ROG Phone 3,OBIWAN,
ROG Phone II,I001D,
ROG Phone,–,
Device Name,Codename,
Zenfone Pro Max (M2),X01BD,
Zenfone Pro Max (M1),X01TD,
Zenfone Max (M2),X01AD,
Zenfone Max (M1),X00P,
ZenFone 6/ASUS 6Z,I01WD],
Zenfone 5Z,Z01R,
Zenfone 5,ZE620KL,
Zenfone 3,ZE520KL,ZE552KL
Zenfone 2,Z00A,
